processor_count        input_size          runtime 
              16              100            88185 
              16             1000            83191 
              16            10000             9014 
              16           100000            86991 
              16          1000000            14648 
              16         10000000            44635 
              16        100000000           296444 
              16       1000000000          2834616 
              16              100            82763 
              16             1000            88697 
              16            10000            84445 
              16           100000            88833 
              16          1000000            14576 
              16         10000000            75044 
              16        100000000           306714 
              16       1000000000          2848622 
              16              100           125905 
              16             1000            84780 
              16            10000            84887 
              16           100000            49175 
              16          1000000            10683 
              16         10000000            43627 
              16        100000000           292169 
              16       1000000000          2854620 
              16              100            84950 
              16             1000            84188 
              16            10000            80664 
              16           100000             9946 
              16          1000000            85864 
              16         10000000            42208 
              16        100000000           293094 
              16       1000000000          2840960 
              16              100            87563 
              16             1000            83841 
              16            10000            48107 
              16           100000            86567 
              16          1000000            51658 
              16         10000000            36996 
              16        100000000           339604 
              16       1000000000          2871841 
              16              100           126528 
              16             1000            85867 
              16            10000            10006 
              16           100000            84482 
              16          1000000            87913 
              16         10000000            37923 
              16        100000000           305309 
              16       1000000000          2847460 
               2        100000000          1147252 
               4        100000000           632860 
               8        100000000           333419 
              16        100000000           308209 
               2       1000000000         18493749 
               4       1000000000         12174844 
               8       1000000000          3087466 
              16       1000000000          2837601 
              1             100           67            
              1             1000          86            
              1             10000         289            
              1             100000        2316
              1             1000000       19762
              1             10000000      115766
              1             100000000     1080768        
              1             1000000000    15667041
              1             10000000000   60101180    
              1             100000000000  50986553
              1             100000000000  28446845
              

                            input size	Time_1	Time_2
              16            100         84035         86517
              16            1000	89758	84506
              16            10000	86382	45587
              16            100000	48678	81518
              16            1000000	83817	90728
              16            10000000	101905	111208
              16            100000000	293116	293748
